name,website,founded_in,last_funding,total_funding,team_size
Razorpay,,,,,
BankOpen,,,,,
PayU,"https://corporate.payu.com/, https://www.payumoney.com/, https://www.payubiz.in/",2002,,Subsidiary of Naspers ,1500
Walnut,http://www.getwalnut.com/,2014,,Acquired by Capital Float,
Citrus Pay,,,,Acquired by PayU,
Quickbooks,,,,,
Tally,,,,,
Extend,,,,,
Fyle,,,,,
Pkfare,,,,,
Rocketrip,https://www.rocketrip.com/,,,,100
Happay ,,,,,
Zoho,,,,,
Expense On Demand,https://www.expenseondemand.com,2003,,,
Ezetap,ezetap.com,2011,16000000,51000000,200
Neo Growth Credit,https://www.neogrowth.in/,2013,90000000,47000000,400
CCAvenue,https://www.ccavenue.com/,2000,-,-,- 
Flexiloans,https://flexiloans.com/,2016,7000000,15000000,100
MoneyTap,https://www.moneytap.com,2015,12300000,12300000,100
Credit Mantri,,,,,
ZestMoney,,,,,
Chillr,chillr.com,2014,6000000,Acquired,50
LoanTap,https://loantap.in/,2016,8000000,22000000,50
Rubique,,,,,
Juspay,https://juspay.in/,2012,6000000,6000000,100
Early Salary,,,,,
India Lends,,,,,
Instamojo,,,,,
Faircent,,,,,
LazyPay,,,,,
SlicePay,,,,,
Capital Float ,,,,,
Plaid,plaid.com,2013,250000000,310000000,200
TrueLayer,,,,,
Finicity,,,,,
Quovo,https://www.quovo.com/,2010,,21000000,
Perfios Software Solutions,https://www.perfios.com/,2007,6000000,6000000,130
Cashfree,https://www.cashfree.com/,2015,120000,120000,27
Eko,https://eko.co.in/,2007,5500000,5500000,150
aadharapi,,,,,
